participant_id,vignette_num,Specialty,treatment_decision,treatment_hour
69,1,Hospital/Internal Medicine,Yes,55
70,1,Critical Care,No,
71,1,Critical Care,Yes,60
72,1,Infectious Diseases,Yes,66
73,1,Emergency Medicine,Yes,53
74,1,Emergency Medicine,Yes,53
75,1,Emergency Medicine,Yes,58
76,1,Emergency Medicine,Yes,55
77,1,Emergency Medicine,Unsure,
78,1,Emergency Medicine,Yes,63
79,1,Emergency Medicine,Yes,60
80,1,Critical Care,No,
81,1,Emergency Medicine,Yes,62
82,1,Emergency Medicine,Yes,60
83,1,Emergency Medicine,Yes,50
84,1,Emergency Medicine,Yes,70
85,1,Emergency Medicine,Yes,50
86,1,Hospital/Internal Medicine,No,
87,1,Hospital/Internal Medicine,Yes,60
88,1,Hospital/Internal Medicine,Yes,60
89,1,Hospital/Internal Medicine,Yes,55
90,1,Emergency Medicine,Unsure,
91,1,Hospital/Internal Medicine,No,
92,1,Infectious Diseases,Yes,60
93,1,Emergency Medicine,No,
94,1,Emergency Medicine,Yes,59
95,1,Critical Care,Yes,66
96,1,Critical Care,No,
97,1,Hospital/Internal Medicine,Yes,54
98,1,Infectious Diseases,Yes,53
99,1,Critical Care,Yes,55
100,1,Emergency Medicine,Yes,27
101,1,Hospital/Internal Medicine,No,
102,1,Hospital/Internal Medicine,Yes,53
103,1,Hospital/Internal Medicine,Yes,65
104,1,Hospital/Internal Medicine,Yes,50
105,1,Emergency Medicine,Unsure,
106,1,Critical Care,Yes,63
107,1,Critical Care,Yes,66
108,1,Emergency Medicine,Yes,50
109,1,Hospital/Internal Medicine,Yes,55
110,1,Critical Care,Unsure,
111,1,Hospital/Internal Medicine,Yes,55
112,1,Critical Care,No,
113,1,Emergency Medicine,Unsure,
114,1,Other,Yes,57
115,1,Hospital/Internal Medicine,No,
116,1,Emergency Medicine,Yes,66
117,1,Infectious Diseases,Yes,53
118,1,Critical Care,Yes,53
119,1,Critical Care,No,
120,1,Infectious Diseases,Yes,85
121,1,Other,No,
122,1,Infectious Diseases,Unsure,
123,1,Critical Care,Yes,60
124,1,Emergency Medicine,Yes,55
125,1,Hospital/Internal Medicine,No,
126,1,Infectious Diseases,Unsure,
127,1,Emergency Medicine,No,
128,1,Infectious Diseases,Yes,92
129,1,Hospital/Internal Medicine,Yes,53
130,1,Hospital/Internal Medicine,Yes,52
131,1,Hospital/Internal Medicine,Yes,68
132,1,Emergency Medicine,Yes,66
133,1,Infectious Diseases,No,
134,1,Hospital/Internal Medicine,Yes,66
135,1,Hospital/Internal Medicine,No,
136,1,Critical Care,Yes,50
137,1,Critical Care,Yes,1
138,1,Critical Care,Yes,50
139,1,Hospital/Internal Medicine,Yes,1
140,1,Critical Care,Yes,55
141,1,Critical Care,Unsure,
142,1,Critical Care,Yes,65
143,1,Critical Care,Unsure,
144,1,Critical Care,Yes,62
145,1,Hospital/Internal Medicine,Yes,52
146,1,Critical Care,Yes,60
147,1,Critical Care,Unsure,
148,1,Emergency Medicine,Unsure,
149,1,Critical Care,Unsure,
150,1,Infectious Diseases,Yes,40
151,1,Infectious Diseases,Yes,60
152,1,Critical Care,Yes,67
153,1,Critical Care,Yes,60
1,2,Emergency Medicine,Yes,20
2,2,Critical Care,Unsure,
3,2,Emergency Medicine,Yes,8
4,2,Hospital/Internal Medicine,Yes,1
5,2,Hospital/Internal Medicine,Yes,95
6,2,Emergency Medicine,Yes,20
7,2,Hospital/Internal Medicine,No,
8,2,Hospital/Internal Medicine,No,
9,2,Hospital/Internal Medicine,Yes,66
10,2,Emergency Medicine,Yes,66
11,2,Hospital/Internal Medicine,Yes,65
12,2,Emergency Medicine,Yes,20
13,2,Hospital/Internal Medicine,No,
14,2,Infectious Diseases,No,
15,2,Hospital/Internal Medicine,Yes,66
16,2,Hospital/Internal Medicine,No,
17,2,Emergency Medicine,No,
18,2,Emergency Medicine,Yes,21
19,2,Emergency Medicine,No,
20,2,Other,Yes,62
21,2,Emergency Medicine,Yes,6
22,2,Critical Care,No,
23,2,Hospital/Internal Medicine,Yes,65
24,2,Other,Yes,66
25,2,Hospital/Internal Medicine,Yes,17
26,2,Hospital/Internal Medicine,Yes,66
27,2,Hospital/Internal Medicine,No,
28,2,Hospital/Internal Medicine,No,
29,2,Critical Care,No,
30,2,Infectious Diseases,Yes,20
31,2,Infectious Diseases,Unsure,
32,2,Hospital/Internal Medicine,Unsure,
33,2,Critical Care,Yes,18
34,2,Critical Care,Unsure,
35,2,Critical Care,Unsure,
36,2,Infectious Diseases,No,
37,2,Critical Care,Yes,22
38,2,Hospital/Internal Medicine,Yes,65
39,2,Hospital/Internal Medicine,Yes,75
40,2,Critical Care,No,
41,2,Hospital/Internal Medicine,Yes,66
42,2,Critical Care,Yes,20
43,2,Critical Care,Yes,20
44,2,Critical Care,No,
45,2,Infectious Diseases,No,
46,2,Critical Care,Unsure,
47,2,Critical Care,Yes,20
48,2,Critical Care,No,
49,2,Critical Care,Unsure,
50,2,Critical Care,No,
51,2,Critical Care,No,
52,2,Critical Care,Yes,63
53,2,Critical Care,Yes,20
54,2,Infectious Diseases,No,
55,2,Critical Care,No,
56,2,Critical Care,No,
57,2,Infectious Diseases,No,
58,2,Critical Care,No,
59,2,Critical Care,Yes,66
60,2,Critical Care,Yes,1
61,2,Critical Care,No,
62,2,Critical Care,No,
63,2,Hospital/Internal Medicine,Yes,66
64,2,Hospital/Internal Medicine,No,
65,2,Hospital/Internal Medicine,No,
66,2,Hospital/Internal Medicine,No,
67,2,Hospital/Internal Medicine,No,
68,2,Infectious Diseases,No,
69,2,Hospital/Internal Medicine,No,
70,2,Critical Care,No,
71,2,Critical Care,No,
72,2,Infectious Diseases,Yes,66
73,2,Emergency Medicine,Unsure,
74,2,Emergency Medicine,No,
75,2,Emergency Medicine,Yes,64
76,2,Emergency Medicine,Yes,60
77,2,Emergency Medicine,Unsure,
78,2,Emergency Medicine,Yes,15
79,2,Emergency Medicine,Yes,16
80,2,Critical Care,No,
81,2,Emergency Medicine,No,
82,2,Emergency Medicine,No,
83,2,Emergency Medicine,Yes,14
84,2,Emergency Medicine,No,
85,2,Emergency Medicine,Yes,20
86,2,Hospital/Internal Medicine,Unsure,
87,2,Hospital/Internal Medicine,Yes,20
88,2,Hospital/Internal Medicine,Yes,20
89,2,Hospital/Internal Medicine,Yes,66
90,2,Emergency Medicine,Unsure,
91,2,Hospital/Internal Medicine,Yes,20
92,2,Infectious Diseases,No,
93,2,Emergency Medicine,Yes,14
94,2,Emergency Medicine,Unsure,
95,2,Critical Care,No,
96,2,Critical Care,Yes,20
97,2,Hospital/Internal Medicine,Unsure,
98,2,Infectious Diseases,No,
99,2,Critical Care,Unsure,
100,2,Emergency Medicine,Yes,1
101,2,Hospital/Internal Medicine,Yes,55
102,2,Hospital/Internal Medicine,Yes,60
103,2,Hospital/Internal Medicine,Unsure,
104,2,Hospital/Internal Medicine,Unsure,
105,2,Emergency Medicine,Yes,20
106,2,Critical Care,Yes,66
107,2,Critical Care,No,
108,2,Emergency Medicine,Yes,20
109,2,Hospital/Internal Medicine,No,
110,2,Critical Care,No,
111,2,Hospital/Internal Medicine,Yes,70
112,2,Critical Care,Yes,64
113,2,Emergency Medicine,Unsure,
114,2,Other,No,
115,2,Hospital/Internal Medicine,No,
116,2,Emergency Medicine,No,
117,2,Infectious Diseases,Yes,66
118,2,Critical Care,Yes,65
119,2,Critical Care,Yes,65
120,2,Infectious Diseases,No,
121,2,Other,No,
122,2,Infectious Diseases,No,
123,2,Critical Care,Yes,68
124,2,Emergency Medicine,Yes,20
125,2,Hospital/Internal Medicine,Yes,16
126,2,Infectious Diseases,Unsure,
127,2,Emergency Medicine,Yes,60
128,2,Infectious Diseases,No,
129,2,Hospital/Internal Medicine,Yes,16
130,2,Hospital/Internal Medicine,Yes,65
131,2,Hospital/Internal Medicine,Yes,65
132,2,Emergency Medicine,Yes,15
133,2,Infectious Diseases,No,
134,2,Hospital/Internal Medicine,No,
135,2,Hospital/Internal Medicine,No,
136,2,Critical Care,Yes,26
137,2,Critical Care,No,
138,2,Critical Care,Yes,60
139,2,Hospital/Internal Medicine,No,
140,2,Critical Care,Yes,64
141,2,Critical Care,Yes,94
142,2,Critical Care,No,
143,2,Critical Care,Yes,1
144,2,Critical Care,Yes,67
145,2,Hospital/Internal Medicine,Yes,66
146,2,Critical Care,No,
147,2,Critical Care,Yes,60
148,2,Emergency Medicine,Yes,1
149,2,Critical Care,No,
150,2,Infectious Diseases,Unsure,
151,2,Infectious Diseases,No,
152,2,Critical Care,Yes,21
153,2,Critical Care,Yes,66
1,3,Emergency Medicine,Yes,1
2,3,Critical Care,Yes,83
3,3,Emergency Medicine,Yes,60
4,3,Hospital/Internal Medicine,Yes,8
5,3,Hospital/Internal Medicine,Yes,66
6,3,Emergency Medicine,Yes,70
7,3,Hospital/Internal Medicine,Yes,72
8,3,Hospital/Internal Medicine,Yes,25
9,3,Hospital/Internal Medicine,Yes,60
10,3,Emergency Medicine,Yes,70
11,3,Hospital/Internal Medicine,Unsure,
12,3,Emergency Medicine,Yes,70
13,3,Hospital/Internal Medicine,Yes,1
14,3,Infectious Diseases,Yes,70
15,3,Hospital/Internal Medicine,No,
16,3,Hospital/Internal Medicine,Yes,70
17,3,Emergency Medicine,Yes,20
18,3,Emergency Medicine,Yes,26
19,3,Emergency Medicine,Yes,54
20,3,Other,Yes,66
21,3,Emergency Medicine,Yes,60
22,3,Critical Care,Yes,66
23,3,Hospital/Internal Medicine,Yes,72
24,3,Other,Yes,92
25,3,Hospital/Internal Medicine,Yes,60
26,3,Hospital/Internal Medicine,Yes,80
27,3,Hospital/Internal Medicine,Yes,26
28,3,Hospital/Internal Medicine,Yes,70
29,3,Critical Care,Yes,72
30,3,Infectious Diseases,Yes,85
31,3,Infectious Diseases,Yes,70
32,3,Hospital/Internal Medicine,Yes,68
33,3,Critical Care,Yes,72
34,3,Critical Care,Yes,54
35,3,Critical Care,Yes,60
36,3,Infectious Diseases,Yes,90
37,3,Critical Care,Unsure,
38,3,Hospital/Internal Medicine,Yes,89
39,3,Hospital/Internal Medicine,Yes,80
40,3,Critical Care,Yes,80
41,3,Hospital/Internal Medicine,Yes,54
42,3,Critical Care,Unsure,
43,3,Critical Care,Yes,55
44,3,Critical Care,Yes,1
45,3,Infectious Diseases,Yes,85
46,3,Critical Care,Unsure,
47,3,Critical Care,Yes,66
48,3,Critical Care,Yes,60
49,3,Critical Care,Yes,70
50,3,Critical Care,Yes,60
51,3,Critical Care,Yes,79
52,3,Critical Care,Yes,80
53,3,Critical Care,Yes,68
54,3,Infectious Diseases,Yes,66
55,3,Critical Care,Yes,55
56,3,Critical Care,Yes,70
57,3,Infectious Diseases,Unsure,
58,3,Critical Care,Yes,27
59,3,Critical Care,Yes,55
60,3,Critical Care,Yes,1
61,3,Critical Care,Yes,80
62,3,Critical Care,No,
63,3,Hospital/Internal Medicine,Yes,72
64,3,Hospital/Internal Medicine,Yes,85
65,3,Hospital/Internal Medicine,Yes,66
66,3,Hospital/Internal Medicine,Yes,72
67,3,Hospital/Internal Medicine,Yes,70
68,3,Infectious Diseases,Yes,70
69,3,Hospital/Internal Medicine,Yes,74
70,3,Critical Care,No,
71,3,Critical Care,Yes,70
72,3,Infectious Diseases,Unsure,
73,3,Emergency Medicine,Yes,82
74,3,Emergency Medicine,Yes,66
75,3,Emergency Medicine,Yes,26
76,3,Emergency Medicine,Yes,60
77,3,Emergency Medicine,Yes,70
78,3,Emergency Medicine,Yes,80
79,3,Emergency Medicine,Yes,70
80,3,Critical Care,Unsure,
81,3,Emergency Medicine,Yes,70
82,3,Emergency Medicine,Yes,72
83,3,Emergency Medicine,Unsure,
84,3,Emergency Medicine,Yes,72
85,3,Emergency Medicine,Yes,26
86,3,Hospital/Internal Medicine,Yes,70
87,3,Hospital/Internal Medicine,Yes,10
88,3,Hospital/Internal Medicine,Yes,70
89,3,Hospital/Internal Medicine,Unsure,
90,3,Emergency Medicine,Unsure,
91,3,Hospital/Internal Medicine,Yes,85
92,3,Infectious Diseases,Yes,85
93,3,Emergency Medicine,Yes,53
94,3,Emergency Medicine,Yes,66
95,3,Critical Care,Yes,68
96,3,Critical Care,Yes,80
97,3,Hospital/Internal Medicine,Yes,85
98,3,Infectious Diseases,Yes,70
99,3,Critical Care,Yes,2
100,3,Emergency Medicine,Yes,1
101,3,Hospital/Internal Medicine,Yes,66
102,3,Hospital/Internal Medicine,No,
103,3,Hospital/Internal Medicine,Yes,77
104,3,Hospital/Internal Medicine,Yes,80
105,3,Emergency Medicine,Yes,70
106,3,Critical Care,Yes,60
107,3,Critical Care,Yes,70
108,3,Emergency Medicine,Yes,83
109,3,Hospital/Internal Medicine,Unsure,
110,3,Critical Care,Yes,70
111,3,Hospital/Internal Medicine,Yes,70
112,3,Critical Care,Yes,1
113,3,Emergency Medicine,Unsure,
114,3,Other,Yes,88
115,3,Hospital/Internal Medicine,Yes,70
116,3,Emergency Medicine,Unsure,
117,3,Infectious Diseases,Yes,80
118,3,Critical Care,Yes,60
119,3,Critical Care,Yes,62
120,3,Infectious Diseases,Yes,67
121,3,Other,Yes,70
122,3,Infectious Diseases,Unsure,
123,3,Critical Care,Yes,72
124,3,Emergency Medicine,Yes,70
125,3,Hospital/Internal Medicine,Yes,80
126,3,Infectious Diseases,Yes,76
127,3,Emergency Medicine,Yes,66
128,3,Infectious Diseases,Yes,79
129,3,Hospital/Internal Medicine,Yes,60
130,3,Hospital/Internal Medicine,Yes,70
131,3,Hospital/Internal Medicine,Yes,70
132,3,Emergency Medicine,No,
133,3,Infectious Diseases,Unsure,
134,3,Hospital/Internal Medicine,Yes,79
135,3,Hospital/Internal Medicine,Yes,70
136,3,Critical Care,Yes,70
137,3,Critical Care,Yes,80
138,3,Critical Care,Yes,55
139,3,Hospital/Internal Medicine,Yes,60
140,3,Critical Care,Yes,71
141,3,Critical Care,Yes,10
142,3,Critical Care,Yes,60
143,3,Critical Care,Yes,85
144,3,Critical Care,Yes,70
145,3,Hospital/Internal Medicine,Yes,66
146,3,Critical Care,Yes,66
147,3,Critical Care,Yes,70
148,3,Emergency Medicine,Yes,2
149,3,Critical Care,Unsure,
150,3,Infectious Diseases,Yes,70
151,3,Infectious Diseases,Yes,70
152,3,Critical Care,Unsure,
153,3,Critical Care,Yes,60
1,4,Emergency Medicine,No,
2,4,Critical Care,Unsure,
3,4,Emergency Medicine,No,
4,4,Hospital/Internal Medicine,Yes,25
5,4,Hospital/Internal Medicine,Yes,34
6,4,Emergency Medicine,Unsure,
7,4,Hospital/Internal Medicine,No,
8,4,Hospital/Internal Medicine,Yes,70
9,4,Hospital/Internal Medicine,Yes,36
10,4,Emergency Medicine,No,
11,4,Hospital/Internal Medicine,Yes,30
12,4,Emergency Medicine,Unsure,
13,4,Hospital/Internal Medicine,No,
14,4,Infectious Diseases,No,
15,4,Hospital/Internal Medicine,No,
16,4,Hospital/Internal Medicine,No,
17,4,Emergency Medicine,Yes,25
18,4,Emergency Medicine,Yes,27
19,4,Emergency Medicine,No,
20,4,Other,Yes,50
21,4,Emergency Medicine,Unsure,
22,4,Critical Care,No,
23,4,Hospital/Internal Medicine,Yes,30
24,4,Other,Unsure,
25,4,Hospital/Internal Medicine,Yes,30
26,4,Hospital/Internal Medicine,Yes,27
27,4,Hospital/Internal Medicine,Yes,35
28,4,Hospital/Internal Medicine,No,
29,4,Critical Care,No,
30,4,Infectious Diseases,No,
31,4,Infectious Diseases,Yes,33
32,4,Hospital/Internal Medicine,Yes,35
33,4,Critical Care,Yes,50
34,4,Critical Care,No,
35,4,Critical Care,Yes,32
36,4,Infectious Diseases,No,
37,4,Critical Care,Yes,14
38,4,Hospital/Internal Medicine,Yes,30
39,4,Hospital/Internal Medicine,Yes,30
40,4,Critical Care,Yes,30
41,4,Hospital/Internal Medicine,Yes,33
42,4,Critical Care,No,
43,4,Critical Care,Yes,10
44,4,Critical Care,No,
45,4,Infectious Diseases,No,
46,4,Critical Care,Unsure,
47,4,Critical Care,Yes,6
48,4,Critical Care,No,
49,4,Critical Care,Unsure,
50,4,Critical Care,Yes,30
51,4,Critical Care,Unsure,
52,4,Critical Care,No,
53,4,Critical Care,Yes,38
54,4,Infectious Diseases,Yes,38
55,4,Critical Care,No,
56,4,Critical Care,No,
57,4,Infectious Diseases,Unsure,
58,4,Critical Care,Unsure,
59,4,Critical Care,Yes,20
60,4,Critical Care,Yes,1
61,4,Critical Care,Unsure,
62,4,Critical Care,No,
63,4,Hospital/Internal Medicine,Unsure,
64,4,Hospital/Internal Medicine,No,
65,4,Hospital/Internal Medicine,No,
66,4,Hospital/Internal Medicine,Yes,33
67,4,Hospital/Internal Medicine,Yes,40
68,4,Infectious Diseases,No,
69,4,Hospital/Internal Medicine,Yes,38
70,4,Critical Care,Unsure,
71,4,Critical Care,No,
72,4,Infectious Diseases,Unsure,
73,4,Emergency Medicine,No,
74,4,Emergency Medicine,Yes,40
75,4,Emergency Medicine,Yes,25
76,4,Emergency Medicine,Yes,20
77,4,Emergency Medicine,Yes,30
78,4,Emergency Medicine,Yes,20
79,4,Emergency Medicine,No,
80,4,Critical Care,Unsure,
81,4,Emergency Medicine,No,
82,4,Emergency Medicine,No,
83,4,Emergency Medicine,Yes,30
84,4,Emergency Medicine,No,
85,4,Emergency Medicine,Unsure,
86,4,Hospital/Internal Medicine,Unsure,
87,4,Hospital/Internal Medicine,No,
88,4,Hospital/Internal Medicine,Yes,70
89,4,Hospital/Internal Medicine,Yes,40
90,4,Emergency Medicine,Unsure,
91,4,Hospital/Internal Medicine,No,
92,4,Infectious Diseases,Yes,38
93,4,Emergency Medicine,Yes,27
94,4,Emergency Medicine,Unsure,
95,4,Critical Care,No,
96,4,Critical Care,No,
97,4,Hospital/Internal Medicine,Unsure,
98,4,Infectious Diseases,No,
99,4,Critical Care,Yes,24
100,4,Emergency Medicine,Yes,27
101,4,Hospital/Internal Medicine,Yes,33
102,4,Hospital/Internal Medicine,Unsure,
103,4,Hospital/Internal Medicine,No,
104,4,Hospital/Internal Medicine,Yes,30
105,4,Emergency Medicine,Yes,30
106,4,Critical Care,Yes,40
107,4,Critical Care,No,
108,4,Emergency Medicine,Yes,38
109,4,Hospital/Internal Medicine,Yes,7
110,4,Critical Care,Unsure,
111,4,Hospital/Internal Medicine,Yes,45
112,4,Critical Care,No,
113,4,Emergency Medicine,Unsure,
114,4,Other,Unsure,
115,4,Hospital/Internal Medicine,No,
116,4,Emergency Medicine,No,
117,4,Infectious Diseases,Yes,30
118,4,Critical Care,Yes,70
119,4,Critical Care,Yes,70
120,4,Infectious Diseases,No,
121,4,Other,No,
122,4,Infectious Diseases,No,
123,4,Critical Care,Yes,10
124,4,Emergency Medicine,Yes,30
125,4,Hospital/Internal Medicine,No,
126,4,Infectious Diseases,Unsure,
127,4,Emergency Medicine,Yes,33
128,4,Infectious Diseases,Yes,66
129,4,Hospital/Internal Medicine,Unsure,
130,4,Hospital/Internal Medicine,Yes,30
131,4,Hospital/Internal Medicine,Yes,68
132,4,Emergency Medicine,Yes,30
133,4,Infectious Diseases,No,
134,4,Hospital/Internal Medicine,Yes,27
135,4,Hospital/Internal Medicine,No,
136,4,Critical Care,Unsure,
137,4,Critical Care,No,
138,4,Critical Care,No,
139,4,Hospital/Internal Medicine,No,
140,4,Critical Care,Yes,38
141,4,Critical Care,Yes,40
142,4,Critical Care,Unsure,
143,4,Critical Care,No,
144,4,Critical Care,Yes,27
145,4,Hospital/Internal Medicine,Unsure,
146,4,Critical Care,No,
147,4,Critical Care,Yes,30
148,4,Emergency Medicine,Unsure,
149,4,Critical Care,Yes,33.5
150,4,Infectious Diseases,Yes,33
151,4,Infectious Diseases,Yes,27
152,4,Critical Care,Yes,30
153,4,Critical Care,Yes,30
1,5,Emergency Medicine,Yes,1
2,5,Critical Care,Yes,66
3,5,Emergency Medicine,No,
4,5,Hospital/Internal Medicine,Yes,14
5,5,Hospital/Internal Medicine,Yes,14
6,5,Emergency Medicine,Yes,50
7,5,Hospital/Internal Medicine,No,
8,5,Hospital/Internal Medicine,Yes,14
9,5,Hospital/Internal Medicine,Yes,59
10,5,Emergency Medicine,No,
11,5,Hospital/Internal Medicine,Yes,14
12,5,Emergency Medicine,Yes,60
13,5,Hospital/Internal Medicine,Unsure,
14,5,Infectious Diseases,No,
15,5,Hospital/Internal Medicine,No,
16,5,Hospital/Internal Medicine,No,
17,5,Emergency Medicine,No,
18,5,Emergency Medicine,Yes,60
19,5,Emergency Medicine,No,
20,5,Other,Yes,66
21,5,Emergency Medicine,Yes,12
22,5,Critical Care,Yes,53
23,5,Hospital/Internal Medicine,Yes,63
24,5,Other,Yes,60
25,5,Hospital/Internal Medicine,Yes,14
26,5,Hospital/Internal Medicine,Yes,60
27,5,Hospital/Internal Medicine,Yes,14
28,5,Hospital/Internal Medicine,Yes,60
29,5,Critical Care,Yes,55
30,5,Infectious Diseases,Yes,14
31,5,Infectious Diseases,Unsure,
32,5,Hospital/Internal Medicine,Yes,66
33,5,Critical Care,Yes,64
34,5,Critical Care,Yes,42
35,5,Critical Care,Yes,14
36,5,Infectious Diseases,Yes,1
37,5,Critical Care,Yes,14
38,5,Hospital/Internal Medicine,Yes,60
39,5,Hospital/Internal Medicine,Yes,66
40,5,Critical Care,Yes,60
41,5,Hospital/Internal Medicine,Yes,16
42,5,Critical Care,Yes,60
43,5,Critical Care,Yes,14
44,5,Critical Care,Yes,50
45,5,Infectious Diseases,Yes,60
46,5,Critical Care,Unsure,
47,5,Critical Care,Yes,60
48,5,Critical Care,Yes,60
49,5,Critical Care,Yes,65
50,5,Critical Care,Yes,14
51,5,Critical Care,Yes,14
52,5,Critical Care,No,
53,5,Critical Care,Yes,1
54,5,Infectious Diseases,Unsure,
55,5,Critical Care,Yes,53
56,5,Critical Care,Yes,14
57,5,Infectious Diseases,Yes,66
58,5,Critical Care,Yes,54
59,5,Critical Care,Yes,53
60,5,Critical Care,Yes,1
61,5,Critical Care,Yes,15
62,5,Critical Care,No,
63,5,Hospital/Internal Medicine,Yes,60
64,5,Hospital/Internal Medicine,Yes,60
65,5,Hospital/Internal Medicine,Unsure,
66,5,Hospital/Internal Medicine,Unsure,
67,5,Hospital/Internal Medicine,Yes,20
68,5,Infectious Diseases,Yes,14
69,5,Hospital/Internal Medicine,Yes,53
70,5,Critical Care,No,
71,5,Critical Care,Yes,60
72,5,Infectious Diseases,Yes,60
73,5,Emergency Medicine,Yes,56
74,5,Emergency Medicine,Yes,66
75,5,Emergency Medicine,Yes,20
76,5,Emergency Medicine,Unsure,
77,5,Emergency Medicine,Yes,53
78,5,Emergency Medicine,Yes,55
79,5,Emergency Medicine,Yes,20
80,5,Critical Care,Unsure,
81,5,Emergency Medicine,No,
82,5,Emergency Medicine,Yes,1
83,5,Emergency Medicine,Yes,60
84,5,Emergency Medicine,Yes,20
85,5,Emergency Medicine,Yes,14
86,5,Hospital/Internal Medicine,Yes,60
87,5,Hospital/Internal Medicine,Yes,60
88,5,Hospital/Internal Medicine,Yes,20
89,5,Hospital/Internal Medicine,Yes,66
90,5,Emergency Medicine,Unsure,
91,5,Hospital/Internal Medicine,Yes,66
92,5,Infectious Diseases,Yes,63
93,5,Emergency Medicine,Yes,40
94,5,Emergency Medicine,Yes,62
95,5,Critical Care,No,
96,5,Critical Care,Yes,48
97,5,Hospital/Internal Medicine,Yes,54
98,5,Infectious Diseases,Yes,63
99,5,Critical Care,No,
100,5,Emergency Medicine,Yes,14
101,5,Hospital/Internal Medicine,Yes,55
102,5,Hospital/Internal Medicine,Unsure,
103,5,Hospital/Internal Medicine,Yes,14
104,5,Hospital/Internal Medicine,Yes,60
105,5,Emergency Medicine,Yes,60
106,5,Critical Care,Yes,72
107,5,Critical Care,Unsure,
108,5,Emergency Medicine,Yes,64
109,5,Hospital/Internal Medicine,Unsure,
110,5,Critical Care,Unsure,
111,5,Hospital/Internal Medicine,No,
112,5,Critical Care,Yes,1
113,5,Emergency Medicine,Unsure,
114,5,Other,Yes,66
115,5,Hospital/Internal Medicine,Yes,60
116,5,Emergency Medicine,Yes,1
117,5,Infectious Diseases,No,
118,5,Critical Care,Yes,53
119,5,Critical Care,Yes,22
120,5,Infectious Diseases,Yes,50
121,5,Other,Yes,60
122,5,Infectious Diseases,Unsure,
123,5,Critical Care,Yes,58
124,5,Emergency Medicine,Yes,55
125,5,Hospital/Internal Medicine,No,
126,5,Infectious Diseases,Unsure,
127,5,Emergency Medicine,Yes,60
128,5,Infectious Diseases,Yes,14
129,5,Hospital/Internal Medicine,Yes,53
130,5,Hospital/Internal Medicine,Unsure,
131,5,Hospital/Internal Medicine,Yes,55
132,5,Emergency Medicine,Yes,60
133,5,Infectious Diseases,Yes,60
134,5,Hospital/Internal Medicine,Yes,66
135,5,Hospital/Internal Medicine,No,
136,5,Critical Care,Yes,16
137,5,Critical Care,Yes,1
138,5,Critical Care,Yes,55
139,5,Hospital/Internal Medicine,Yes,53
140,5,Critical Care,Yes,14
141,5,Critical Care,Yes,64
142,5,Critical Care,Yes,20
143,5,Critical Care,Yes,55
144,5,Critical Care,Yes,60
145,5,Hospital/Internal Medicine,Yes,66
146,5,Critical Care,Yes,60
147,5,Critical Care,Yes,20
